Name,Industry,Description,Short Description,Tags,Business Model,Customer Model,Website,Raised,Year Raised,Stage,Investors,PDF URL
Careem,Logistics,Careem Networks FZ LLC provides private car booking services. The Company enables customers to order a car online by using its mobile application. Careem Networks FZ serves customers in the United Arab Emirates.,Careem connects Dubai commuters and citizens with drivers to get them to their destinations.,"Logistics, Food, Ride Sharing, Payments, Transportation",Marketplace,C2C,careem.com,$1.7M,2013,Seed,"VC, Corporate",./BestPitchPDFs/careem.pdf
Burner,Security,Ad Hoc Labs Inc. provide software products and services. The Company designs and develops mobile applications that enables users to obtain temporary and disposable numbers for voice and short message service (SMS) communication. Ad Hoc Labs primarily operates in the United States.,Burner provides users with temporary phone numbers to protect their personal information and communicate without being tracked.,Security,Subscription,B2C,burnerapp.com,$2M,2013,Series A,VC,./BestPitchPDFs/burner.pdf
Amify,Advertising,"Potomac River Holdings, LLC, doing business as Amify, provides Internet based services. The Company offers solutions that allows brands to capture their marketplace via account management, brand protection, and content enhancement strategies. Amify serves customers in the State of Virginia.",Amify provides services and technology to help brands operating on Amazon increase their revenues.,"Advertising, Retail",Other,B2B,goamify.com,$5.8M,2019,Series A,VC,./BestPitchPDFs/amify.pdf
Parkbench,Real Estate,Parkbench Inc. provides internet based services. The Company produces a neighborhood focused website that provides local information serving much the same function as the small-town newspaper. Parkbench rents these website for real estate agents and mortgage brokers. Parkbench serves customers in Canada.,"Parkbench is a robust sales and marketing platform that allows realtors to publish deals, showcase listings, and leverage the power of their personal brand.","Real Estate, Proptech, Events, Marketing, Advertising, Collaboration, Travel",SaaS,"B2B, B2C",parkbench.com,$125k,2016,Seed,VC,./BestPitchPDFs/parkbench.pdf
Crowdz,FinTech,"Crowdzu is the first fully integrated marketplace for entrepreneurs and creatives. As a one-stop shop, at Crowdzu: - a business can crowdsource all their design and branding needs - an inventor can both crowdfund to finance production and crowdsource packaging design - a singer can raise money for a new album via crowdfunding, crowdsource album artwork & videography and offer music for licensing - filmmakers can crowdfund and crowdsource animation and music - fashion houses and individuals can crowdsource costumes, entire clothing lines and one-of-a-kind apparel and accessories - agencies, businesses and individuals can crowdsource photographs and other image needs - established and up-and-coming brands can find affordable product placement opportunities in film, television and the web - creatives can buy and sell digital assets like fonts, templates, music loops, motion backgrounds and more - companies can post creative job opportunities While the permutations appear endless, every campaign, contest and posting is structured, and where appropriate, cross-promoted. Welcome to The Crowdzu Marketplace.",Crowdz improves the cash-flow of companies in global supply chains by providing invoice-financing opportunities.,"FinTech, Blockchain, Analytics, Payments",SaaS,B2B,crowdzu.com,$3M,2020,Series A,VC,./BestPitchPDFs/crowdz.pdf
VR Motion,Transportation,"VR Motion Labs designs and builds high performance VR racing simulators for motorsports and racing enthusiasts, race training centers and VR simulation centers.",VR Motion is an immersive technology startup that creates software for transportation companies.,"Transportation, Software, Hardware, IT",SaaS,B2B2C,vrmotionlabs.com,$500K,2017,Pre-Seed,VC,./BestPitchPDFs/vrmotion.pdf
Cladwell,Fashion,"Cladwell, Inc. provides mobile software solutions. The Company offers online platform for selecting various apparels and accessories. Cladwell serves customers in the State of Ohio.",Cladwell is a personal styling service for the creative and adventurous.,"Fashion, Software, CleanTech",App,B2C,cladwell.com,$1M,2017,Seed,VC,./BestPitchPDFs/cladwell.pdf
Metadata,Marketing,"Metadata Software, LLC designs and develops software solutions. The Company offers demand generation platform for inbound marketing and customer acquisition for business to business enterprises. Metadata Software serves customers in the United States.","Metadata helps B2B companies build sustainable demand for their products and services. With automation technology, it helps these companies in boosting their sales conversions.","Marketing, Big Data, AI, Productivity",SaaS,B2B,metadata.io,$2M,2016,Seed,VC,./BestPitchPDFs/metadata.pdf
Chipper Cash,FinTech,"Critical Ideas, Inc., doing business as Chipper Cash, designs and develops application software. The Company offers a platform that send and request money for free. Chipper Cash serves customers in Africa.",Chipper Cash is a platform that facilitates cross-border payments through mobile.,"FinTech, Payments",App,"B2C, B2B",chippercash.com,$30M,2020,Series B,VC,./BestPitchPDFs/chippercash.pdf
Primeloop,Marketing,Retarget anyone that clicks on your links. Drag and drop your ads into the RetargetLinks platform and we will show them to everyone that clicks on your link.,Primeloop gives you the ability to reach the right audience with every link you share.,"Marketing, Advertising, Social Media, Media",SaaS,B2B2C,primeloop.com,$175K,2013,Seed,Unknown,./BestPitchPDFs/primeloop.pdf
Tallyfy,Productivity,"Your secret to running seriously smooth operations in your business. Assign, automate, track and train in one amazing app.","Tallyfy is a web-based software that allows you to create, organize, and optimize repeatable processes in your business.","Productivity, IT, Software",SaaS,B2B,tallyfy.com,$40K,2014,Seed,Unknown,./BestPitchPDFs/tallyfy.pdf
Holloway,Media,Holloway Inc operates as a publishing and technology company. The Company publishes online frameworks for solving practical problems. Holloway serves customers in the State of California.,"Holloway’s Guides are a long-established series of books, written by expert authors, to help you learn whatever you want to know.",Media,Marketplace,C2C,holloway.com,$4.6M,2019,Seed,Unknown,./BestPitchPDFs/holloway.pdf
StreamLoan,Real Estate,"StreamLoan's digital mortgage platform gives lenders the power to increase revenue, reduce cost, close more loans and deliver the best borrower experience.","StreamLoan is a mobile and web-based application that provides a collaborative workflow platform designed to simplify, secure, and enable closing residential home loans.","Real Estate, Proptech, FinTech, Payments","SaaS, App",C2C,streamloan.io,$125K,2016,Seed,Unknown,./BestPitchPDFs/streamloan.pdf
Fyodor Biotechnologies,Biotechnology,,Fyodor Biotechnologies is a leading provider of innovative medical devices that change people’s lives.,"Biotechnology, Manufacturing, Retail, Healthcare",E-commerce,B2C,FyodorBiotechnologies.com,Undisclosed,2018,Seed,Unknown,./BestPitchPDFs/fyodorbiotechnologies.pdf
YogaTrail,Social Media,Discover The Path That Leads You Home,"Yogatrail is an online platform that allows you to discover your favorite yoga classes and studios, book your appointments, read reviews, and connect with other like-minded yoga practitioners.","Social Media, Sports, Events, Healthcare",Marketplace,C2C,yogatrailguide.com,$320K,2014,Seed,"VC, Angel Investors",./BestPitchPDFs/yogatrail.pdf
Cooleaf,HR,"Cooleaf, Inc. provides employers, groups, and individuals with solutions to book and create social activities and events. The Company partners with a diverse group of health and wellness providers to provide access to healthy classes and programs on one platform, in which users earn reward points every time they make a purchase. Cooleaf conducts business in Atlanta, Georgia.","Cooleaf help businesses drive employee engagement, boost retention, and improve culture.","HR, Analytics, Software",SaaS,B2B,cooleaf.com,$425K,2016,Seed,Unknown,./BestPitchPDFs/cooleaf.pdf
UniPay,FinTech,"Ultimate Payment Gateway Software for Investment Groups, SaaS, ISVs, ISOs, Merchants, and PayFacs. Full range of payment gateway capabilities.",UniPAY provides payment services to its customers and clients in Georgia.,"FinTech, Payments",App,B2C,unipaygateway.com,Undisclosed,2012,Seed,Unknown,./BestPitchPDFs/unipay.pdf
Slidebean,Productivity,"Slidebean is a pitch deck design platform for startups and small businesses. Our online presentation tools can help you create professional slides, with an artificial-intelligence presentation software, or with a team of business experts and designers.",Slidebean is the world’s first end-to-end presentation platform that designs and creates presentations on-demand using user-generated content.,"Productivity, Art, Software",SaaS,B2B,slidebean.com,$35K,2013,Seed,VC,./BestPitchPDFs/slidebean.pdf
Ascend.io,Software,Experience continuously optimized data pipelines with less code and breakages. Enter the new era of data engineering with Ascend.,"Ascend.io offers a fully managed platform for building, scaling, and operating continuously optimized Apache Spark-based data pipelines.","Software, Big Data, IT, Analytics",SaaS,B2B,ascend.io,$15M,2017,Series A,VC,./BestPitchPDFs/ascendio.pdf
Speedlancer,Productivity,"Speedlancer Inc. operates as an online task platform. The Company offers logo, infographic, ebook cover, website banner and header, email newsletter and header image, business card, application icon designs, photo images editing, graphics vectorization, and background removal and image resizing services. Speedlancer serves customers in Australia.","Speedlancer is an innovative platform that connects the best freelance professionals with those looking to buy their skills in content creation, marketing, and design.","Productivity, HR, Marketing, Advertising",Marketplace,C2C,speedlancer.com,$75K,2014,Seed,Unknown,./BestPitchPDFs/speedlancer.pdf
OrderCircle,Software,"OrderCircle is self-service ordering for wholesale customers. OrderCircle takes the hassle out of B2B orders - no more phone orders, faxes, or emailed forms. Think of it as Shopify for B2B ordering. With OrderCircle, businesses can accept and manage orders from their wholesale customers with the same ease and simplicity offered by B2C carts. Customers can place their own orders, receive invoices automatically, and check order status themselves. OrderCircle is elegant e-commerce for B2B commerce - we're bringing the same all-digital experience that B2C shoppers expect to wholesale transactions. Invoicing, shipping, payments, and analytics - all in one place, all in OrderCircle.","OrderCircle is a complete platform for B2B e-commerce. It’s the simplicity of Shopify — but for B2B. Rather than just shopping carts, they provide a powerful B2B management tool with invoicing, catalogs, reporting, and more.","Software, Analytics",E-commerce,B2B,ordercircle.com,$125K,2016,Seed,Unknown,./BestPitchPDFs/ordercircle.pdf
Althea,Retail,Incentivized mesh networks,"Althea is a Korean e-commerce that provides the latest beauty products, trends and lifestyle to consumers in Southeast Asia.","Retail, Fashion",E-commerce,B2C,althea.net,$3.5M,2016,Series A,VC,./BestPitchPDFs/althea.pdf
MoBagel,Analytics,"MoBagel helps enterprises make AI-driven business decisions with Decanter AI, an automated machine learning platform that makes fast and accurate predictions.",MoBagel is a provider of enterprise-class AI-driven software and services that automates routine decisions while augmenting human decision-making.,"Analytics, Big Data, Analytics, Cloud, Software",SaaS,B2B,mobagel.com,$3M,2017,Seed,Accelerator,./BestPitchPDFs/mobagel.pdf
Prolaera,Accounting,VC firm on a mission to uplift people and economies around the world through entrepreneurship.,Prolaera provides classes from the leading experts in the world’s most popular fields. It is an award-winning Continuing Professional Education (CPE) platform built to streamline and simplify CPE for licensed professionals.,"Accounting, EdTech, Legal Tech",,B2B,500demoday.co,$35K,2015,Pre-Seed,VC,./BestPitchPDFs/prolaera.pdf
Voxeet,3D Technology,"Dolby.io, the leading communications, audio, and video API platform, makes it easy for developers and businesses to build resoundingly lifelike and captivating experiences. Try out the demo and get started for free.","Voxeet is helping power the future of communication by enabling crystal clear 3D surround sound, optimized for mobile users.","3D Technology, Video, Audio, Productivity",App,B2C,Voxeet.com,$1.5M,2014,Seed,VC,./BestPitchPDFs/voxeet.pdf
Italist,Retail,"Over 200,000 current fashion products, up to 40% cheaper, express shipped from the best Italian boutiques. Shop 1,000 worldwide luxury designer brands","Italist is used by the world’s biggest luxury brands to source and purchase items at scale, ensuring that the most desirable items are available before they sell out.","Retail, Fashion",E-commerce,B2C,italist.com,$500K,2014,Crowdfunding,Unknown,./BestPitchPDFs/italist.pdf
Mayvenn,Retail,"Quality virgin human hair & extensions trusted & recommended by 100,000 stylists, and backed by the only 30-day return policy in the industry. Try Mayvenn hair today!","Mayvenn changes the game for beauty experts and their clients. With a revolutionary revenue-generating social selling platform, stylists are able to sell products directly to clients without having to pay any upfront costs.","Retail, Fashion, Art",Marketplace,C2C,mayvenn.com,$10M,2015,Series A,"VC, Angel Investors",./BestPitchPDFs/mayvenn.pdf
Squadle,Software,We help multi-unit restaurants manage and scale operations with our digital logbooks and sensors. Sharing insights and news for restaurants!,Squadle’s automated workflow and customized checklists enable restaurants to simplify complex operations and increase compliance across diverse locations.,"Software, IoT, Manufacturing, Retail, Hardware, Big Data",SaaS,B2B,squadle.com,$250K,2015,Seed,Unknown,./BestPitchPDFs/squadle.pdf
TopHatch,Art,"At Top Hat Chimney Sweeps, we are dedicated to providing chimney sweep services to residents in Alabama and Georgia. Reach out to schedule.","TopHatch is an all-in-one project management app for creative professionals. It’s designed for designers, developers, musicians, writers and other professional creatives.","Art, Construction",App,"B2B, B2C",tophatchimneyalabama.com,$500K,2016,Seed,VC,./BestPitchPDFs/tophatch.pdf
Beeketing,Marketing,The Terms of Service govern your use of and access to certain marketing technology and related services provided by Beeketing,"Beeketing helps you grow, convert and retain your customers via automation.","Marketing, Analytics, AI",SaaS,B2B,beeketing.com,$125K,2015,Seed,Unknown,./BestPitchPDFs/beeketing.pdf
Bellwethr,AI,Bellwethr is a set of no-code data science tools for customer success designed to put the power of data science and AI in the hands of your customer success team.,Bellwethr provides businesses with no-code tools to build decision intelligence capabilities.,"AI, Machine Learning, Marketing, Analytics",SaaS,B2B,bellwethr.com,$2.5M,2019,Seed,"VC, Accelerator",./BestPitchPDFs/bellwethr.pdf
Chewse,Logistics,"Chewse, Inc. provides office admins a way to get lunch catered. The Company serves office admins who were otherwise at a loss for finding something new and interesting multiple times a week with a curated list of restaurants that already do catering and delivery, and can handle the demands of serving to a full office environment. Chewse conducts business in Los Angeles, California.",Chewse is an online marketplace that connects offices with local restaurants.,"Logistics, Food, Restaurants, Transportation",Marketplace,C2C,chewse.com,$1M,2013,Seed,VC,./BestPitchPDFs/chewse.pdf
PredictoinIO,Open Source,,PredictionIO is a machine learning server built by the community and for the community. It enables businesses to scale their Artificial Intelligence projects with ease.,"Open Source, AI, Machine Learning, Analytics, Big Data, Software",SaaS,B2C,PredictoinIO.com,$150K,2013,Seed,VC,./BestPitchPDFs/predictoinio.pdf
EnvoyNow,Restaurants,"EnvoyNow is an on-demand food delivery service that enables students to order and get food delivered from any restaurant on campus. The service expanded to 20 college campuses nationwide, and was acquired by JoyRun in 2017. EnvoyNow was founded by Anthony Zhang and Chad Massura in November 2013 and is based in Los Angeles, California.",EnvoyNow is the first on-demand food delivery startup that gives students a way to get quality meals without having to shop for ingredients or cook.,"Restaurants, Food, Logistics",App,B2C,envoynow.co,$1M,2016,Seed,Unknown,./BestPitchPDFs/envoynow.pdf
POPAPP,Software,"Software de administración restaurantes, bares y cafés mejor preparado para acompañarte desde la apertura, renovación o crecimiento de tu restaurante.","POPAPP is an easy-to-use app that allows you to transform your sketches into clickable, interactive prototypes. Perfect for designers and developers to create mobile apps in hours and days instead of weeks and months.","Software, Art",App,"B2C, B2B",popapp.io,$700K,2014,Crowdfunding,VC,./BestPitchPDFs/popapp.pdf
Tokyo Techie,IT,"Tokyo Techie is one of the best Cryptocurrency & Blockchain Development Company in India. Our Services Include - Cryptocurrency Development, Digital Marketing, Website & App Development.",TokyoTechie provides high-quality IT development and consulting services to clients in need of top-notch technology.,IT,SaaS,B2B,tokyotechie.com,Undisclosed,2018,Pre-Seed,Unknown,./BestPitchPDFs/tokyotechie.pdf
Clanbeat,Productivity,Clanbeat is empowering students and teachers to promote well-being and self-directed learning through an innovative mobile solution.,"Clanbeat provides personalized growth support to help people discover their true passions, achieve their goals and shape their own future.","Productivity, Software, EdTech, Healthcare, HR",SaaS,B2C,clanbeat.com,$1.2M,2019,Seed,Accelerator,./BestPitchPDFs/clanbeat.pdf
Mero Technologies,Software,"Unlock revenue with simple facility technology. Mero provides supply and labour analytics to recover 35%+ of cost instantly, with sensors on existing equipment.",Mero Technologies is an analytics platform that helps property managers measure and improve the performance of their facilities.,"Software, Analytics, IoT, CleanTech, Energy, Robotics",SaaS,B2C,mero.co,$800K,2020,Pre-Seed,Unknown,./BestPitchPDFs/merotechnologies.pdf
Alyce,AI,"Alyce, Inc. operates as a platform a services company. The Company develops an online corporate gifting platform. Alyce focuses on building stronger connections, decreasing churns, retaining employees, and closing prospects by gifting, as well as allows users to add a personal message and schedule it for a specific date. Alyce serves customers in the State of Massachusetts.",Alyce empowers brands to deliver personalized gifts to their customers and partners.,"AI, Machine Learning, Advertising, Marketing",SaaS,B2B,alyce.com,$5.3M,2017,Seed,VC,./BestPitchPDFs/alyce.pdf
Gymhit,Software,GymHit is a complete business and vendor management platform for both gyms and personal trainers. Built by founders with over 20 years of experience in the fitness industry. GymHit has 200 paying locations to date and envisions vertically integrating certification agencies and supply chain logistics.,GymHit is a tech company providing workflow automation for fitness businesses.,"Software, Sports, Healthcare, Productivity",SaaS,B2B,Gymhit.com,$650K,2015,Seed,"VC, Accelerator",./BestPitchPDFs/gymhit.pdf
Worthix,AI,Worthix deep dives into each conversation and extracts the exact experiences that drive customer decisions.,Worthix is a survey platform that utilizes AI and machine learning to capture the “why” behind purchase decisions.,"AI, Productivity, IT, Software",SaaS,B2B,worthix.com,$6M,2019,Series A,VC,./BestPitchPDFs/worthix.pdf
PupBox,Retail,"PupBox, Inc. operates as a puppy and life stage focused subscription service company. The Company delivers customized products and training information to new puppy and dog parents based on their pet's current stage of development and physical characteristics. PupBox serves customers in State of California.",PupBox keeps all of the common puppy essentials on hand so you can give your puppy the love and attention it deserves.,Retail,Subscription,B2C,pupbox.com,Undisclosed,2016,Seed,Unknown,./BestPitchPDFs/pupbox.pdf
GridCure,Big Data,GridCure solves the smart-grid analytics issue by bringing the concepts and practices of big data to the power utility space.,GridCure is a data-driven startup that simplifies energy efficiency programs for the global electrical power utility industry.,"Big Data, Analytics, Machine Learning, AI, Energy, Cloud, CleanTech",SaaS,B2B,gridcure.com,$95K,2014,Seed,Unknown,./BestPitchPDFs/gridcure.pdf
Dutchie,Cannabis,"Dutchie creates technology that powers e-commerce and point of sale solutions for dispensaries. We also offer the dutchie marketplace, where consumers can order their favorite cannabis products online for pickup and delivery.",Dutchie provides the most comprehensive and secure technology platform for dispensaries to effectively run and manage their business.,"Cannabis, Logistics",E-commerce,B2C,dutchie.com,$35M,2020,Series B,VC,./BestPitchPDFs/dutchie.pdf
Babylist,Retail,Put anything onto your Baby Registry from any store. It's as easy to use as Pinterest. Because making your baby registry should be fun!,Babylist is a baby registry that helps parents get everything they need for their newborns.,"Retail, Food, Fashion",E-commerce,B2C,babylist.com,$650K,2013,Seed,Unknown,./BestPitchPDFs/babylist.pdf
Thrive Global,Productivity,"Thrive Global Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, offers behavior change science-based solutions that helps individuals, companies, and communities improve their well-being and performance. Thrive Global Holdings serves customers worldwide.","Thrive Global is a health and productivity platform teaching people to thrive with the right mindset, community, and habits.","Productivity, Media",App,B2C,thriveglobal.com,$7M,2016,Series A,"VC, Angel Investors",./BestPitchPDFs/thriveglobal.pdf
Homebot,Real Estate,,"Homebot is connecting homeowners with the country’s best mortgage professionals and lenders, helping homeowners take control of their home selling process.","Real Estate, Proptech, FinTech, Payments",App,B2C,homebotapp.com,$4.5M,2017,Seed,Angel Investors,./BestPitchPDFs/homebot.pdf
Usetrace,Software,Web app testing system that doesn’t require coding or constant updating. Makes continuous deployment possible.,Usetrace develops test automation tools that allow developers and testers to focus less on testing and more on developing valuable new features.,"Software, Cloud",SaaS,B2B,usetrace.com,€120K,2013,Seed,Unknown,./BestPitchPDFs/usetrace.pdf
Via Global Health,Healthcare,"The latest Global Health and Medical Supplies from around the world. Faster, easier and more afforable. Wholesale prices shipped directlty to your door.",VIA Global Health is a social enterprise that helps people around the world get access to healthcare.,"Healthcare, Retail, Logistics",E-commerce,"B2C, B2B",viaglobalhealth.com,Undisclosed,2017,Seed,Unknown,./BestPitchPDFs/viaglobalhealth.pdf
7bridges,Logistics,Bridgestone tires are rigorously engineered to perform. Enter your vehicle details and driving preferences to find the best new and replacement tires.,"As an end-to-end logistics optimization platform, 7bridges will automate key processes for businesses that will allow them to streamline business processes.","Logistics, AI, Retail",Subscription,B2B,bridgestonetire.com,$3.4M,2020,Seed,VC,./BestPitchPDFs/7bridges.pdf
Nubity,Cloud,Haga foco en el desarrollo de su negocio sin preocuparse por el funcionamiento de la infraestructura. Obtenga el máximo rendimiento en la Nube junto a nuestros especialistas.,Nubity is a multi-cloud monitoring platform for data centers and enterprise cloud IaaS services.,"Cloud, Software, IT",SaaS,B2B,nubity.com,$37K,2013,Pre-Seed,VC,./BestPitchPDFs/nubity.pdf
Paubox,Security,"All the secure email and compliance you need, without the effort. HIPAA compliant email has never been so easy. Learn more about all our HITRUST CSF certified solutions.",Paubox is a HIPAA and HITRUST CSF Compliance software that allows you to create an easy-to-use email environment for your healthcare business.,"Security, Healthcare, Software, Cloud",SaaS,B2B2C,paubox.com,$30K,2015,Seed,VC,./BestPitchPDFs/paubox.pdf
Botsociety,Software,"Your conversational design suite. Design and prototype your next chatbot or voice assistant. Create a mockup of your project on Messenger, Slack, Google Assistant, Alexa and more. The next generation design solution for chatbots and voice.",Botsociety helps businesses build conversational interfaces for their web & mobile apps.,"Software, Collaboration","SaaS, Subscription","B2B, B2C",botsociety.io,$150K,2017,Seed,Unknown,./BestPitchPDFs/botsociety.pdf
MailHeaven,Logistics,,"MailHaven is a mailbox designed for the modern age. It tracks packages, sends you alerts, and keeps your identity safe.","Logistics, Productivity, Software, IoT",SaaS,B2B2C,MailHeaven.com,$100K,2016,Crowdfunding,Accelerator,./BestPitchPDFs/mailheaven.pdf
VCV,AI,С VCV привычные этапы найма проводятся в 5 раз быстрее и эффективнее,VCV is a recruiting robot that connects job seekers with top companies.,"AI, Machine Learning, HR, Software",SaaS,B2B,vcv.ru,$150K,2017,Pre-Seed,Angel Investors,./BestPitchPDFs/vcv.pdf
Sqoop,Media,"A news discovery service for reporters to access and set alerts for public data sources like the SEC, Patent Office, PACER, and soon others. info@sqoop.com",Sqoop is an innovative network that employs the power of data to help journalists access news and sources faster.,"Media, Social Media, Productivity",SaaS,B2C,sqoop.com,$125K,2015,Seed,VC,./BestPitchPDFs/sqoop.pdf
WellTrack,Healthcare,"We are the industry leader in providing wellness programs; enabling organizations to significantly increase revenue, decrease cost and predict risk.","WellTrack specializes in providing on-demand Internet therapy for users with anxiety, depression, and stress.",Healthcare,App,B2C,welltrackone.co,Undisclosed,2017,Seed,Unknown,./BestPitchPDFs/welltrack.pdf
RingCaptcha,Security,"Onboard & engage users in 90s with phone identity, verification, OTP & SMS notification. Send reliable voice/SMS OTP with Twillio, MessageBird, Nexmo, Infobip, etc. from 1 API.","RingCaptcha is a multi-featured communications platform, featuring secure voice and SMS notifications, SMS analytics tools, and two-factor authentication for SMS gateways.","Security, Software",SaaS,B2B2C,ringcaptcha.com,$25K,2012,Seed,Unknown,./BestPitchPDFs/ringcaptcha.pdf
Dwolla,FinTech,"Dwolla Corporation provides payment products and services. The Company operates a online payment services that allows you to pay for goods and services on a payment network while also giving you the freedom to send and receive cash with whomever via our peer-to-peer payment platform. Dwolla also allows you to use your phone, computer, social networks, and physical locations for their service.","Dwolla is a state-of-the-art payments platform for online businesses that collects, transfers, and processes money with ease. It was designed to be robust, secure, reliable, cost-effective, and accessible.","FinTech, Payments","SaaS, E-commerce",B2B,dwolla.com,$16.5M,2013,Late Stage,"VC, Angel Investors",./BestPitchPDFs/dwolla.pdf
AirBnB,Travel & Events,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Airbnb is one of the world's largest marketplaces for listing and finding accommodations of local hosts all around the world. It is estimated to be worth about $38 billion.With the help of this pitch deck Airbnb was able to raise $600K in funding in 2008.Airbnb has raised a total of $5.4B in funding over 16 rounds,Travel & Events,"SaaS, E-commerce",,airbnb.com,$600k,2008,Pre-Seed,,./BestPitchPDFs/airbnb.pdf
Databook,Tech,"Databook Labs, Inc. provides technology solutions. The Company offers enterprise customer intelligence platform that combines predictive intent data, real-time insights, and time-saving productivity tools to improve selling performance across the enterprise. Databook Labs serves customers in the United States.",,Tech,,,trydatabook.com,$5M,2020,Seed,,./BestPitchPDFs/databook.pdf
Barcoo,App,"Рецепты и видео приготовления коктейлей, интернет магазин барных подарков",Barcoo is one of the most famous barcode scanner apps.In January 2007 Barcoo raised 200k in funding with the help of this pitch deck.This remains the only funding round Barcoo completed up to this date.,App,,,barcook.ru,$200k,18,Seed,,./BestPitchPDFs/barcoo.pdf
Atomwise,Healthcare,Atomwise Inc. develops health care software. The Company uses artificial intelligence to help discover new medicines and agricultural compounds. Atomwise serves clients worldwide.,,Healthcare,,,atomwise.com,$123M,2020,Series B,,./BestPitchPDFs/atomwise.pdf
Castle,Proptech,"Curate your home with Castlery's range of modern, inspiring designs. Shop fuss-free for quality, liveable furniture at accessible prices, direct to your door.","Castle was a property management company from Detroit. You can read the story about why castel had to close its doors here.However, Castle was able to raise $270k in funding with this pitch deck.",Proptech,,,castlery.com,$270k,,Pre-Seed,,./BestPitchPDFs/castle.pdf
Bliss.ai,SaaS,"BLISS is Columbus’ best and number one choice for airbrush spray tanning! We proudly use Norvell products which provide the most natural, organic and healthy option for your spray tan that never looks orange!",Biss.ai is an online platform that tracks technical debt and analyses code quality throughout its users’ codebase and organizations.In 2015 Bliss has raised $750k in funding with the help of this pitch deck. There are no further information about other funding rounds.,SaaS,SaaS,,blisstans.com,$750k,2015,Seed,,./BestPitchPDFs/blissai.pdf
SmartHost,SaaS,Web Hosting Jedi,,SaaS,SaaS,,smarthost.net,$100k,,Pre-Seed,,./BestPitchPDFs/smarthost.pdf
SickWeather,Healthcare,"Online Social Health Network, Sickness Forecasting & Mapping",Sickweather is a hpyerlocal illness data platform.In 2017 Sickweather has raised $525K in funding with this pitch deck.Sickwaether has raised a total of $2.6M in total over eight rounds.,Healthcare,,,sickweather.com,,2017,,,./BestPitchPDFs/sickweather.pdf
Kibin,Media,"Unlike most editing & proofreading services, we edit for everything: grammar, spelling, punctuation, idea flow, sentence structure, & more. Get started now!",Kibin is an editing & proof reading service for students.In 2011 Kibin raised $400k with the help of this pitch deck.,Media,,,kibin.com,$400k,2011,Seed,,./BestPitchPDFs/kibin.pdf
Vidlet,SaaS,"Vidlet taps the power of mobile video for business. Tweets about #marketresearch, #newmr, #insights, #innovation, mobile video, and learning & development","Vidlet offers a powerful digital platform and expert professional services for conducting remote qualitative & hybrid research, around the globe, using smartphone video.With the help of this pitch deck Vidlet has raised abour $1.2M in fundings.",SaaS,SaaS,,vidlet.com,$1.2M,,Seed,,./BestPitchPDFs/vidlet.pdf
Prealize Health,Healthcare,"Prealize Health is a predictive healthcare analytics company helping organizations move to proactive healthcare, ensuring more people live healthier lives.","Formerly known as Capital Analytx, Prealize Health uses machine learning to transform healthcare from being reactive to being proactive.The company provides healthcare analytical services intended to predict healthcare spending (at Stanford). The company’s services leverage machine learning based on fresh discoveries to combine machine learning IP with clinical interventions, enabling health insurers and healthcare delivery systems to predict better healthcare spendings for patients and their health insurers.The company raised a total of 28.1 million in funding between September 2017 and April 2019 - $6.1 million generated in series A round, and $22 million in series B funding.",Healthcare,,,prealizehealth.com,$22M,,Series B,,./BestPitchPDFs/prealizehealth.pdf
Hampton Creek,Food & Beverages,,"Currently operating under EAT JUST Inc, Hampton Creek is an American food manufacturing company that produces plant-based meals. The company received $500.000 in seed funding in December 2011 from Khosla Ventures.After relocating to San Francisco in June 2012, the company received another $1.5 million in a Series A round.On February 17, 2014, the company announced it had raised $23 million series B funding.‍",Food & Beverages,,,myhamptoncreekhome.com,$23M,,Series B,,./BestPitchPDFs/hamptoncreek.pdf
hometalk,Marketplaces,"Hometalk. The world's largest online community of home and garden DIYers, where you can find tons of how-to's, ideas and advice to create the home you love.",,Marketplaces,,,hometalk.com,$15M,,Series A,,./BestPitchPDFs/hometalk.pdf
SempreHealth,Healthcare,"Sempre Health, Inc. operates as a website. The Company, through its platform, allows customers to compare current healthcare pricing structures. Sempre Health serves patients in the State of California.",,Healthcare,,,semprehealth.com,$8M,2019,Series A,,./BestPitchPDFs/semprehealth.pdf
RegioHelden,Media,Ströer Online Marketing ist Ihre Agentur für lokales und messbares Online-Marketing ✓ Google Premium Partnerschaft ✓ über 10 Jahre Erfahrung ☎ 0711 1285010,The founder of RegioHelden Feliks Eyser talks about how he managed to raise 10m with this deck on his Medium account.,Media,,,RegioHelden.com,$10M,,Series B,,./BestPitchPDFs/regiohelden.pdf
Apricity,Healthcare,"Apricity is fertility care your way, maximising chances of success by giving you the best fertility journey possible.",,Healthcare,,,apricity.life,$7M,2019,Series A,,./BestPitchPDFs/apricity.pdf
Arcus,FinTech,"Arcus is the payments-as-a-Service helping every business make payments possible for everyone, across the Americas.",,FinTech,,,arcusfi.com,$13M,2019,Series A,,./BestPitchPDFs/arcus.pdf
